director,link,director_url,location,gender
Christian Petzold,https://www.imdb.com/search/name/?name=Christian%20Petzold,/name/nm0678857/?ref_=sr_t_1,"Hilden, North Rhine-Westphalia, Germany",Male
Christopher Guest,https://www.imdb.com/search/name/?name=Christopher%20Guest,/name/nm0001302/?ref_=sr_t_1,"New York City, New York, USA",Unknown
Christopher Morris,https://www.imdb.com/search/name/?name=Christopher%20Morris,/name/nm0606439/?ref_=sr_t_1,"Bristol, England, UK",Male
Christopher Nolan,https://www.imdb.com/search/name/?name=Christopher%20Nolan,/name/nm0634240/?ref_=sr_t_1,"London, England, UK",Unknown
Claire Denis,https://www.imdb.com/search/name/?name=Claire%20Denis,/name/nm0219136/?ref_=sr_t_1,"Paris, France",Unknown
Claude Lanzmann,https://www.imdb.com/search/name/?name=Claude%20Lanzmann,/name/nm0487351/?ref_=sr_t_1,"Bois-Colombes, Hauts-de-Seine, France",Male
Clint Eastwood,https://www.imdb.com/search/name/?name=Clint%20Eastwood,/name/nm0000142/?ref_=sr_t_1,"San Francisco, California, USA",Unknown
Clio Barnard,https://www.imdb.com/search/name/?name=Clio%20Barnard,/name/nm1163237/?ref_=sr_t_1,,Female
Conrad Vernon,https://www.imdb.com/search/name/?name=Conrad%20Vernon,/name/nm0970447/?ref_=sr_t_1,"Lubbock, Texas, USA",Male
Corneliu Porumboiu,https://www.imdb.com/search/name/?name=Corneliu%20Porumboiu,/name/nm1717949/?ref_=sr_t_1,"Vaslui, Romania",Male
Courtney Hunt,https://www.imdb.com/search/name/?name=Courtney%20Hunt,/name/nm2581581/?ref_=sr_t_1,,Female
Cristi Puiu,https://www.imdb.com/search/name/?name=Cristi%20Puiu,/name/nm1090998/?ref_=sr_t_1,"Bucharest, Romania",Male
Cristian Mungiu,https://www.imdb.com/search/name/?name=Cristian%20Mungiu,/name/nm0612816/?ref_=sr_t_1,"Iasi, Romania",Male
Céline Sciamma,https://www.imdb.com/search/name/?name=Céline%20Sciamma,/name/nm1780037/?ref_=sr_t_1,"Pontoise, Val-d'Oise, France",Female
Damien Chazelle,https://www.imdb.com/search/name/?name=Damien%20Chazelle,/name/nm3227090/?ref_=sr_t_1,"Providence, Rhode Island, USA",Male
Damián Szifrón,https://www.imdb.com/search/name/?name=Damián%20Szifrón,/name/nm1167933/?ref_=sr_t_1,"Ramos Mejía, Buenos Aires, Argentina",Male
Dan Gilroy,https://www.imdb.com/search/name/?name=Dan%20Gilroy,/name/nm0319659/?ref_=sr_t_1,"Santa Monica, California, USA",Unknown
Danis Tanovic,https://www.imdb.com/search/name/?name=Danis%20Tanovic,/name/nm0849786/?ref_=sr_t_1,"Zenica, Bosnia and Herzegovina, Yugoslavia",Male
Danièle Huillet,https://www.imdb.com/search/name/?name=Danièle%20Huillet,/name/nm0401247/?ref_=sr_t_1,"Paris, France",Female
Darren Aronofsky,https://www.imdb.com/search/name/?name=Darren%20Aronofsky,/name/nm0004716/?ref_=sr_t_1,"Brooklyn, New York City, New York, USA",Male
David Cronenberg,https://www.imdb.com/search/name/?name=David%20Cronenberg,/name/nm0000343/?ref_=sr_t_1,"Toronto, Ontario, Canada",Male
David Fincher,https://www.imdb.com/search/name/?name=David%20Fincher,/name/nm0000399/?ref_=sr_t_1,"Denver, Colorado, USA",Male
David France,https://www.imdb.com/search/name/?name=David%20France,/name/nm0289800/?ref_=sr_t_1,,Unknown
David Lynch,https://www.imdb.com/search/name/?name=David%20Lynch,/name/nm0000186/?ref_=sr_t_1,"Missoula, Montana, USA",Male
David Michôd,https://www.imdb.com/search/name/?name=David%20Michôd,/name/nm2391575/?ref_=sr_t_1,,Unknown
David O'Reilly,https://www.imdb.com/search/name/?name=David%20O'Reilly,/name/nm2988528/?ref_=sr_t_1,,Unknown
David O. Russell,https://www.imdb.com/search/name/?name=David%20O.%20Russell,/name/nm0751102/?ref_=sr_t_1,"Manhattan, New York City, New York, USA",Male
David Silverman,https://www.imdb.com/search/name/?name=David%20Silverman,/name/nm0798899/?ref_=sr_t_1,"New York City, New York, USA",Male
David Wain,https://www.imdb.com/search/name/?name=David%20Wain,/name/nm0906476/?ref_=sr_t_1,"Shaker Heights, Ohio, USA",Male
Debra Granik,https://www.imdb.com/search/name/?name=Debra%20Granik,/name/nm0335138/?ref_=sr_t_1,"Cambridge, Massachusetts, USA",Female
Denis Villeneuve,https://www.imdb.com/search/name/?name=Denis%20Villeneuve,/name/nm0898288/?ref_=sr_t_1,"Trois-Rivières, Québec, Canada",Male
Derek Cianfrance,https://www.imdb.com/search/name/?name=Derek%20Cianfrance,/name/nm0161834/?ref_=sr_t_1,"Lakewood, Colorado, USA",Male
Destin Daniel Cretton,https://www.imdb.com/search/name/?name=Destin%20Daniel%20Cretton,/name/nm2308774/?ref_=sr_t_1,"Maui, Hawaii, USA",Male
Dibakar Banerjee,https://www.imdb.com/search/name/?name=Dibakar%20Banerjee,/name/nm1962313/?ref_=sr_t_1,"New Delhi, India",Male
Don Hertzfeldt,https://www.imdb.com/search/name/?name=Don%20Hertzfeldt,/name/nm0381116/?ref_=sr_t_1,"Fremont, California, USA",Male
Dror Moreh,https://www.imdb.com/search/name/?name=Dror%20Moreh,/name/nm0603466/?ref_=sr_t_1,,Unknown
Duke Johnson,https://www.imdb.com/search/name/?name=Duke%20Johnson,/name/nm2122478/?ref_=sr_t_1,"St. Louis, Missouri, USA",Male
Duncan Jones,https://www.imdb.com/search/name/?name=Duncan%20Jones,/name/nm1512910/?ref_=sr_t_1,"Bromley, Kent, England, UK",Male
Edgar Wright,https://www.imdb.com/search/name/?name=Edgar%20Wright,/name/nm0942367/?ref_=sr_t_1,"Poole, Dorset, England, UK",Male
Edward Yang,https://www.imdb.com/search/name/?name=Edward%20Yang,/name/nm0945981/?ref_=sr_t_1,"Shanghai, China",Male
Elia Suleiman,https://www.imdb.com/search/name/?name=Elia%20Suleiman,/name/nm0837839/?ref_=sr_t_1,"Nazareth, Israel",Male
Emad Burnat,https://www.imdb.com/search/name/?name=Emad%20Burnat,/name/nm4796818/?ref_=sr_t_1,Palestine,Male
Eran Kolirin,https://www.imdb.com/search/name/?name=Eran%20Kolirin,/name/nm0464115/?ref_=sr_t_1,"Holon, Israel",Male
Eran Riklis,https://www.imdb.com/search/name/?name=Eran%20Riklis,/name/nm0726954/?ref_=sr_t_1,"Beersheba, Israel",Male
Eric Darnell,https://www.imdb.com/search/name/?name=Eric%20Darnell,/name/nm0201509/?ref_=sr_t_1,"Prairie Village, Kansas, USA",Male
Eric Khoo,https://www.imdb.com/search/name/?name=Eric%20Khoo,/name/nm0451799/?ref_=sr_t_1,Singapore,Male
Ermanno Olmi,https://www.imdb.com/search/name/?name=Ermanno%20Olmi,/name/nm0647438/?ref_=sr_t_1,"Bergamo, Lombardy, Italy",Male
Ernie Gehr,https://www.imdb.com/search/name/?name=Ernie%20Gehr,/name/nm0311780/?ref_=sr_t_1,"Milwaukee, Wisconsin, USA",Male
